municipio,departamento,pobreza_pct,desempleo_pct,educacion_anos,ingreso_capita,cobertura_salud,mortalidad_infantil,acceso_internet,indice_gini
Lorica,Córdoba,51.4,13.2,7.2,1080000,84.6,22.8,34.2,0.538
Cereté,Córdoba,44.8,12.4,7.7,1180000,86.4,20.2,40.2,0.526
Tierralta,Córdoba,62.4,14.8,6.6,920000,79.1,27.8,24.6,0.554
Turbo,Antioquia,57.8,14.2,6.8,960000,80.2,26.6,29.8,0.546
Apartadó,Antioquia,38.2,12.4,8.0,1300000,88.4,17.6,44.2,0.522
Carepa,Antioquia,44.6,13.1,7.6,1190000,86.2,19.8,39.6,0.529
Caucasia,Antioquia,42.4,12.8,7.8,1230000,87.3,19.4,41.4,0.525
Andes,Antioquia,28.6,12.2,8.8,1530000,91.4,13.6,52.4,0.494
Jericó,Antioquia,24.2,11.8,9.1,1640000,92.8,12.4,55.6,0.482
Jardín,Antioquia,22.8,11.4,9.2,1680000,93.2,12.1,57.2,0.478
Urrao,Antioquia,48.2,13.4,7.4,1130000,85.2,21.6,36.2,0.534
Yarumal,Antioquia,32.6,12.4,8.6,1420000,89.8,15.4,49.8,0.504
Santa Fe de Antioquia,Antioquia,30.4,12.1,8.8,1480000,90.4,14.8,51.2,0.499
Pamplona,Norte de Santander,26.8,13.2,9.0,1590000,92.4,13.0,54.4,0.487
Ocaña,Norte de Santander,38.4,15.4,8.1,1280000,88.2,17.8,43.4,0.521
Tibú,Norte de Santander,58.6,16.4,6.7,950000,79.8,26.4,28.2,0.549
El Zulia,Norte de Santander,42.8,14.8,7.8,1220000,87.1,19.6,40.8,0.526
Pitalito,Huila,34.6,13.6,8.3,1380000,89.2,16.2,47.2,0.516
Garzón,Huila,32.4,13.1,8.5,1420000,89.8,15.6,49.4,0.508
La Plata,Huila,38.2,13.8,8.0,1300000,88.4,17.4,43.8,0.522
Espinal,Tolima,26.2,13.4,8.9,1570000,92.1,13.1,54.8,0.488
Honda,Tolima,30.8,13.8,8.6,1460000,90.6,14.9,51.4,0.501
Líbano,Tolima,34.8,13.6,8.2,1380000,89.1,16.4,47.4,0.517
Chaparral,Tolima,44.2,13.9,7.7,1180000,86.1,19.9,39.4,0.528
Tumaco,Nariño,72.4,17.8,6.2,820000,76.1,31.8,20.6,0.568
Ipiales,Nariño,34.8,14.2,8.3,1360000,89.4,16.3,47.8,0.515
Túquerres,Nariño,46.4,14.8,7.6,1160000,85.9,20.8,38.4,0.529
La Unión,Nariño,38.6,14.1,7.9,1270000,88.1,17.9,43.6,0.522
